id,course_id,title,content_type,order,xp_reward,created_at,section_id,duration
1-meta-principal-1-secundaria,course-9-2,1 meta principal + 1 secundaria,reading,3,50,2026-03-26 00:15:31.345,,5
2fa-que-es-y-por-que-importa,course-18-2,2FA: qué es y por qué importa,reading,2,50,2026-03-26 00:17:04.675,,5
acciones-que-son-sin-trading,course-24-2,Acciones: qué son (sin trading),reading,3,50,2026-03-26 00:18:07.541,,5
acondo-se-va-mi-dinero,course-5-2,Acondo se va mi dinero,reading,1,50,2026-03-26 00:14:48.417,,5
activo-que-requiere-mantenimiento-realidad,course-21-2,Activo que requiere mantenimiento (realidad),reading,4,50,2026-03-26 00:17:36.915,,5
activos-pasivos-y-patrimonio-conexion,course-27-1,"Activos, pasivos y patrimonio (conexión)",reading,3,50,2026-03-26 00:18:35.525,,5
activospasivos-en-tu-vida-diaria-prepa,course-21-1,Activos/pasivos en tu vida diaria (prepa),reading,4,50,2026-03-26 00:17:33.618,,5
ahorrar-con-ingresos-variables,course-8-1,Ahorrar con ingresos variables,reading,4,50,2026-03-26 00:15:18.139,,5
ahorrar-no-es-guardar-lo-que-sobra,course-8-1,Ahorrar no es guardar lo que sobra,reading,1,50,2026-03-26 00:15:16.492,,5
ahorrar-vs-invertir-criterio-claro,course-24-1,Ahorrar vs invertir (criterio claro),reading,1,50,2026-03-26 00:18:03.176,,5
ahorro-en-crisis,course-8-3,Ahorro en crisis,reading,4,50,2026-03-26 00:15:24.663,,5
ahorro-por-metas,course-8-3,Ahorro por metas,reading,2,50,2026-03-26 00:15:23.584,,5
ajustar-el-siguiente-mes,course-6-3,Ajustar el siguiente mes,reading,4,50,2026-03-26 00:15:03.815,,5
ajustar-estrategia-sin-abandonar,course-29-3,Ajustar estrategia sin abandonar,reading,3,50,2026-03-26 00:19:03.265,,5
ajustar-metas-al-trimestre,course-10-2,Ajustar metas al trimestre,reading,4,50,2026-03-26 00:15:42.378,,5
ajustar-presupuesto-en-inflacion,course-20-2,Ajustar presupuesto en inflación,reading,4,50,2026-03-26 00:17:26.497,,5
ajustar-si-voy-atrasado,course-9-3,Ajustar si voy atrasado,reading,2,50,2026-03-26 00:15:34.081,,5
ajustar-sin-rendirme,course-6-2,Ajustar sin rendirme,reading,3,50,2026-03-26 00:15:00.023,,5
ajuste-rapido-de-salidas-plan-7-dias,course-5-2,Ajuste rápido de salidas (plan 7 días),reading,4,50,2026-03-26 00:14:50.079,,5
ajustes-trimestrales-sin-drama,course-28-2,Ajustes trimestrales (sin drama),reading,4,50,2026-03-26 00:18:49.845,,5
alertas-bancarias-que-activar,course-19-1,Alertas bancarias (qué activar),reading,3,50,2026-03-26 00:17:12.317,,5
antes-de-pagar-checklist-de-decision,course-3-2,Antes de pagar: checklist de decisión,reading,2,50,2026-03-26 00:14:27.053,,5
antiguedad-por-que-el-tiempo-importa,course-13-2,Antigüedad: por qué el tiempo importa,reading,4,50,2026-03-26 00:16:13.808,,5
anualidad-comisiones-y-cargos-comunes,course-12-2,"Anualidad, comisiones y cargos comunes",reading,4,50,2026-03-26 00:16:03.314,,5
apalancamiento-hacer-mas-con-menos,course-2-3,Apalancamiento: Hacer más con menos,reading,3,50,2026-03-26 00:14:19.267,,5
apariencia-de-riqueza-vs-riqueza-real,course-3-3,“Apariencia de riqueza” vs riqueza real,reading,2,50,2026-03-26 00:14:30.323,,5
apps-para-metas-y-ahorro-como-usarlas,course-19-1,Apps para metas y ahorro (cómo usarlas),reading,2,50,2026-03-26 00:17:11.782,,5
apps-para-registrar-gastos-que-deben-tener,course-19-1,Apps para registrar gastos (qué deben tener),reading,1,50,2026-03-26 00:17:11.243,,5
armar-presupuesto-paso-a-paso,course-6-2,Armar presupuesto paso a paso,reading,1,50,2026-03-26 00:14:58.919,,5
armar-tu-stack-financiero-digital-basico,course-19-1,Armar tu “stack” financiero digital básico,reading,5,50,2026-03-26 00:17:13.499,,5
aumentar-ingresos-sin-trabajar-mas,course-5-1,Aumentar ingresos sin “trabajar más”,reading,4,50,2026-03-26 00:14:46.808,,5
aumentar-margen-sin-aumentar-estres,course-29-2,Aumentar margen sin aumentar estrés,reading,3,50,2026-03-26 00:19:00.145,,5
aumentar-patrimonio-con-consistencia,course-27-2,Aumentar patrimonio con consistencia,reading,4,50,2026-03-26 00:18:39.379,,5
automatizar-ahorro-simulado,course-8-3,Automatizar ahorro (simulado),reading,1,50,2026-03-26 00:15:23.047,,5
